param_estimator,param_n_estimators,param_learning_rate,mean_test_score,mean_train_score,std_test_score,std_train_score
DecisionTreeClassifier(max_depth=1),25,0.01,0.7822672776348001,0.7822671257702066,0.006527899156364903,0.0016296870270965742
DecisionTreeClassifier(max_depth=1),50,0.01,0.7822672776348001,0.7822671257702066,0.006527899156364903,0.0016296870270965742
DecisionTreeClassifier(max_depth=1),100,0.01,0.7822672776348001,0.7875967190380888,0.006527899156364903,0.008197400923286574
DecisionTreeClassifier(max_depth=1),200,0.01,0.790101060824807,0.7926473832674095,0.013880039357209491,0.004354303877034181
DecisionTreeClassifier(max_depth=1),25,0.03,0.7822672776348001,0.7822671257702066,0.006527899156364903,0.0016296870270965742
DecisionTreeClassifier(max_depth=1),50,0.03,0.7889837423890528,0.7912440707880928,0.01237163494739936,0.004803190876849096
DecisionTreeClassifier(max_depth=1),100,0.03,0.790101060824807,0.7929278881762454,0.013880039357209491,0.004376151532118636
DecisionTreeClassifier(max_depth=1),200,0.03,0.7912246563304249,0.8013473690845769,0.014659478152135896,0.008335332501035271
DecisionTreeClassifier(max_depth=1),25,0.1,0.790101060824807,0.7923668783585734,0.013880039357209491,0.0062505549574700696
DecisionTreeClassifier(max_depth=1),50,0.1,0.790101060824807,0.7926473832674095,0.013880039357209491,0.004354303877034181
DecisionTreeClassifier(max_depth=1),100,0.1,0.812560416797439,0.8159379579872985,0.006012089565135119,0.0019863501001809065
DecisionTreeClassifier(max_depth=1),200,0.1,0.8148013307388112,0.8190235119844935,0.00822481568353888,0.003199862799027901
DecisionTreeClassifier(max_depth=1),25,0.3,0.812560416797439,0.8162176749609973,0.006012089565135119,0.0008930197671965831
DecisionTreeClassifier(max_depth=1),50,0.3,0.8148076078086749,0.8187430070756575,0.006347623081264268,0.0035896841820186455
DecisionTreeClassifier(max_depth=1),100,0.3,0.814801330738811,0.8249160849078905,0.00822481568353888,0.0046323928339902275
DecisionTreeClassifier(max_depth=1),200,0.3,0.8148076078086749,0.830250011819027,0.00727440632520951,0.006681695956418268
DecisionTreeClassifier(max_depth=1),25,1.0,0.8092021844203126,0.8338934238933451,0.010667905626154212,0.0030796074655110254
