param_ccp_alpha,param_max_features,param_min_samples_split,mean_test_score,mean_train_score,std_test_score,std_train_score
0.0,10,2,0.8372544096415794,0.9991580913059236,0.017824564145985534,0.0006874159464804997
0.0,10,5,0.8439897056054233,0.9494949335770679,0.02475221766103257,0.006209305638528081
0.0,10,10,0.8406189190885694,0.9225593709125863,0.017341368618749582,0.009274125632434021
0.0,20,2,0.8372544096415793,0.9991580913059236,0.01289259724667464,0.0006874159464804997
0.0,20,5,0.8417487916640513,0.956790425012213,0.016831847843620944,0.0038015403602822267
0.0,20,10,0.8428661100998054,0.9267677324802623,0.02106852096827479,0.007598915092420642
0.0,30,2,0.8372355784319879,0.9991580913059236,0.01687880625981798,0.0006874159464804997
0.0,30,5,0.8428472788902142,0.9629635028444458,0.02147905079319087,0.004304753012557043
0.0,30,10,0.8428598330299417,0.9270486313566668,0.0171505516323122,0.005090250099296574
0.0,40,2,0.8338836231247253,0.9991580913059236,0.020978483993743427,0.0006874159464804997
0.0,40,5,0.8484840876278954,0.9660494508092092,0.01812060370812721,0.003906348152125648
0.0,40,10,0.8428598330299417,0.9309776699182123,0.019232509792206056,0.00693902065166489
0.0,50,2,0.8428535559600778,0.9991580913059236,0.019918656990536864,0.0006874159464804997
0.0,50,5,0.8451007469713139,0.967733268197362,0.014637362456489706,0.00396391083395035
0.0,50,10,0.8518423200050217,0.9309760940479379,0.01456490691478781,0.005711437616394471
0.0,70,2,0.8372481325717155,0.9991580913059236,0.015613845066896418,0.0006874159464804997
0.0,70,5,0.8406126420187057,0.9736238712829159,0.014193391910786248,0.005134025974698086
0.0,70,10,0.8496076831335133,0.9323801944623918,0.016428692804097558,0.003790402414040474
0.0006,10,2,0.8383780051471973,0.9985966875206833,0.018644552285880626,0.000888280765814344
0.0006,10,5,0.8417425145941874,0.9444442693477473,0.027197071110916782,0.007559268201247313
0.0006,10,10,0.8406189190885694,0.9197531399215215,0.0197255100260677,0.008753665790608442
0.0006,20,2,0.8372544096415793,0.9991580913059236,0.01289259724667464,0.0006874159464804997
0.0006,20,5,0.840631473228297,0.9523011645681327,0.013536081640407828,0.00531884284856136
0.0006,20,10,0.8439897056054233,0.9259258237861859,0.01995126344113319,0.007337072484438501
0.0006,30,2,0.8372355784319879,0.9991580913059236,0.01687880625981798,0.0006874159464804997
0.0006,30,5,0.8428472788902142,0.956790425012213,0.022343312842634164,0.0036966037212614903
0.0006,30,10,0.8439834285355596,0.9264876215389949,0.018690190287796383,0.005645175848600092
0.0006,40,2,0.8338836231247253,0.9991580913059236,0.020978483993743427,0.0006874159464804997
0.0006,40,5,0.8496076831335133,0.9635237247269804,0.016428692804097575,0.0035524035343116878
0.0006,40,10,0.8428598330299417,0.9298556502828689,0.019232509792206056,0.007082026410933182
0.0006,50,2,0.8417299604544597,0.9991580913059236,0.019414068891325034,0.0006874159464804997
0.0006,50,5,0.8462243424769318,0.96296232094174,0.01546444543180203,0.004831165935432139
0.0006,50,10,0.8484715334881677,0.9298540744125944,0.01639338245787978,0.005322352252681642
0.0006,70,2,0.8372481325717155,0.9991580913059236,0.015613845066896418,0.0006874159464804997
0.0006,70,5,0.8406126420187057,0.9702574184093165,0.014193391910786248,0.004475663356818447
0.0006,70,10,0.8518423200050217,0.9315382857683154,0.016967160194066917,0.0042801522199133
0.0012,10,2,0.8451133011110414,0.965207542115133,0.023488146242797842,0.0028616334359219298
0.0012,10,5,0.8451133011110414,0.9360271522448272,0.023755371656227695,0.00941108293017808
0.0012,10,10,0.8406126420187057,0.9135812439919946,0.023823680727465255,0.008292101691381101
0.0012,20,2,0.8406251961584333,0.9733441543092173,0.021516885408554842,0.0015436451731293678
0.0012,20,5,0.8451133011110412,0.9436027546212395,0.014948298574064508,0.009106263704204419
0.0012,20,10,0.8439897056054233,0.9236817845154986,0.021475014689395295,0.006784392818805641
0.0012,30,2,0.8406063649488418,0.9806392517767938,0.018146211026056583,0.0016417227512585662
0.0012,30,5,0.8428535559600778,0.9500571252974457,0.025231361432812117,0.004976915498884505
0.0012,30,10,0.8428598330299417,0.9245232992420064,0.0171505516323122,0.006230914193835743
0.0012,40,2,0.8417425145941875,0.9848484012796067,0.013571855381800248,0.0022445976447136285
0.0012,40,5,0.8507312786391312,0.9553871125328962,0.014884466756917444,0.0031248041303087266
0.0012,40,10,0.8406126420187057,0.9287324487448192,0.018447865149119932,0.006226831046543018
0.0012,50,2,0.8450881928315862,0.9890575507824197,0.020161469604111682,0.0016337270280972946
0.0012,50,5,0.8473479379825497,0.9573514348298847,0.01537112534651652,0.0042154070330500506
0.0012,50,10,0.8495888519239218,0.9273283483303654,0.017327653245296698,0.006725776715633178
0.0012,70,2,0.8372544096415793,0.9952290527443781,0.01289259724667464,0.0021032142311710332
0.0012,70,5,0.8417362375243236,0.9607194635737587,0.019044195490888486,0.007415902397224268
0.0012,70,10,0.8507187244994036,0.9304154781978348,0.01582286837517621,0.0049036720869834296
0.0024,10,2,0.8417236833845962,0.9130202341743228,0.021011632297657165,0.011726116813793167
0.0024,10,5,0.8372544096415794,0.9082488929511323,0.020462464069948828,0.00898750400635007
0.0024,10,10,0.836137091205825,0.8973076256362577,0.019279701019183654,0.01226192356518139
0.0024,20,2,0.8395016006528152,0.9284519438359833,0.011624540236951105,0.010377326549644886
0.0024,20,5,0.8394890465130876,0.9205954425831665,0.020095119350770345,0.009153180405033606
0.0024,20,10,0.8361245370660975,0.9088110846715098,0.018026949069463755,0.009505192064851354
0.0024,30,2,0.8394827694432239,0.9363080511212315,0.021053732125174165,0.010094865076858419
0.0024,30,5,0.8451070240411775,0.9290133476212239,0.01940955264219353,0.009571201422407112
0.0024,30,10,0.8417362375243236,0.9141414658745293,0.02001387987628898,0.005774982389386336
0.0024,40,2,0.8417550687339151,0.9407969175977433,0.01560175784946275,0.008148635935799153
